begin, model,PminusET_today,bh_depth_today, proj_date_end, proj_depth_end
2021-10-31 00:00:00,Linear,29.857899999999894,-16.67200000000001,2021-11-13 00:00:00,-15.157500000000022
2021-11-01 00:00:00,Linear,35.6579999999999,-16.67200000000001,2021-11-14 00:00:00,-15.273200000000038
2021-11-02 00:00:00,Linear,32.34909999999989,-16.67200000000001,2021-11-15 00:00:00,-14.71420000000003
2021-11-03 00:00:00,Linear,29.040199999999903,-16.242000000000004,2021-11-16 00:00:00,-14.43240000000001
2021-11-04 00:00:00,Linear,25.706299999999903,-16.135999999999996,2021-11-17 00:00:00,-14.342000000000002
2021-11-05 00:00:00,Linear,21.9859999999999,-16.01700000000001,2021-11-18 00:00:00,-14.326999999999995
2021-11-06 00:00:00,Linear,17.853499999999904,-15.900999999999996,2021-11-19 00:00:00,-14.12389999999999
2021-11-07 00:00:00,Linear,13.859799999999904,-15.767999999999986,2021-11-20 00:00:00,-13.998699999999982
2021-11-02 00:00:00,Fall,10.511199999999903,-15.627999999999986,2021-11-15 00:00:00,-15.668756595013
2021-11-09 00:00:00,Linear,10.091599999999904,-15.465000000000003,2021-11-22 00:00:00,-13.789299999999983
2021-11-10 00:00:00,Linear,10.213799999999903,-15.382999999999996,2021-11-23 00:00:00,-13.553899999999981
2021-11-11 00:00:00,Linear,7.867299999999901,-15.265,2021-11-24 00:00:00,-13.240899999999979
2021-11-12 00:00:00,Linear,5.5217999999998995,-15.114999999999995,2021-11-25 00:00:00,-13.53549999999999
2021-11-13 00:00:00,Linear,3.5403999999998987,-15.027000000000001,2021-11-26 00:00:00,-13.48130000000001
2021-11-11 00:00:00,Fall,1.4886999999998984,-14.947000000000003,2021-11-24 00:00:00,-14.481444931871449
2021-11-15 00:00:00,Linear,0.0,-14.947000000000003,2021-11-28 00:00:00,-13.706800000000012
2021-11-16 00:00:00,Linear,0.0,-14.947000000000003,2021-11-29 00:00:00,-13.59240000000002
2021-11-17 00:00:00,Linear,0.0,-14.725999999999999,2021-11-30 00:00:00,-13.481900000000026
2021-11-18 00:00:00,Linear,0.0,-14.671000000000006,2021-12-01 00:00:00,-13.586800000000002
2021-11-19 00:00:00,Linear,0.0,-14.631,2021-12-02 00:00:00,-13.602700000000004
2021-11-20 00:00:00,Linear,0.0,-14.591999999999999,2021-12-03 00:00:00,-13.717099999999997
2021-11-21 00:00:00,Linear,0.0,-14.591999999999999,2021-12-04 00:00:00,-13.912100000000004
2021-11-22 00:00:00,Linear,0.0,-14.591999999999999,2021-12-05 00:00:00,-14.026499999999995
2021-11-23 00:00:00,Linear,0.0,-14.591999999999999,2021-12-06 00:00:00,-14.130499999999994
2021-11-24 00:00:00,Linear,0.0,-14.591999999999999,2021-12-07 00:00:00,-14.130499999999994
2021-11-25 00:00:00,Linear,0.0,-14.591999999999999,2021-12-08 00:00:00,-14.130499999999994
2021-11-26 00:00:00,Linear,0.0,-14.591999999999999,2021-12-09 00:00:00,-14.417799999999998
2021-11-27 00:00:00,Linear,0.0,-14.591999999999999,2021-12-10 00:00:00,-14.304699999999993
2021-11-28 00:00:00,Linear,0.0,-14.450000000000003,2021-12-11 00:00:00,-14.266699999999997
2021-11-29 00:00:00,Linear,0.0,-14.489999999999995,2021-12-12 00:00:00,-14.397699999999997
2021-12-03,Linear,0.0,-14.590000000000003,2021-12-16,-14.590000000000003
2021-12-05,Linear,0.0,-14.634999999999991,2021-12-18,-14.634999999999991
